Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
71,Female,160,110,Lightly Active,Vegan,2953,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Apple with almond butter
71,Male,158,87,Sedentary,Omnivore,1516,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Apple with almond butter
76,Male,166,92,Very Active,Vegan,1522,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Apple with almond butter
21,Female,175,65,Lightly Active,Vegan,2110,Fruit and yogurt parfait,Lentil soup with bread,Vegetable curry,Protein bar
46,Male,191,114,Moderately Active,Pescatarian,1655,Oatmeal with berries,Lentil soup with bread,Baked salmon with veggies,Apple with almond butter
27,Female,166,79,Sedentary,Vegan,2412,Vegan pancakes with syrup,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
27,Male,154,73,Sedentary,Vegetarian,2372,Vegan pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter
49,Female,152,111,Lightly Active,Pescatarian,1958,Vegan pancakes with syrup,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts
25,Male,153,90,Very Active,Vegan,2362,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Greek yogurt with nuts
55,Male,174,71,Sedentary,Omnivore,2275,Vegan pancakes with syrup,Grilled chicken salad,Tofu and quinoa bowl,Greek yogurt with nuts
73,Female,157,70,Very Active,Vegetarian,2948,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts
41,Female,181,72,Moderately Active,Vegetarian,1975,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Trail mix
55,Female,190,115,Moderately Active,Omnivore,2899,Smoothie with protein powder,Grilled chicken salad,Vegetable curry,Trail mix
29,Female,198,77,Sedentary,Omnivore,2281,Fruit and yogurt parfait,Turkey sandwich,Pasta with marinara sauce,Protein bar
39,Female,173,52,Sedentary,Vegan,2282,Egg and spinach wrap,Turkey sandwich,Tofu and quinoa bowl,Trail mix
56,Female,152,51,Sedentary,Pescatarian,2713,Fruit and yogurt parfait,Grilled chicken salad,Baked salmon with veggies,Greek yogurt with nuts
44,Female,194,50,Moderately Active,Omnivore,2895,Egg and spinach wrap,Grilled chicken salad,Baked salmon with veggies,Greek yogurt with nuts
40,Female,174,84,Moderately Active,Pescatarian,2178,Vegan pancakes with syrup,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies
35,Female,179,118,Moderately Active,Pescatarian,2634,Smoothie with protein powder,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies
57,Male,154,50,Sedentary,Omnivore,2323,Vegan pancakes with syrup,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter
53,Female,173,60,Lightly Active,Omnivore,2200,Fruit and yogurt parfait,Veggie stir-fry,Pasta with marinara sauce,Trail mix
21,Female,154,112,Lightly Active,Pescatarian,2061,Vegan pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Trail mix
64,Male,178,90,Lightly Active,Pescatarian,2807,Oatmeal with berries,Avocado and chickpea salad,Tofu and quinoa bowl,Trail mix
52,Female,168,86,Sedentary,Vegetarian,1762,Vegan pancakes with syrup,Veggie stir-fry,Beef and broccoli stir-fry,Apple with almond butter
28,Female,156,101,Moderately Active,Vegetarian,2739,Smoothie with protein powder,Lentil soup with bread,Vegetable curry,Trail mix
50,Male,156,93,Sedentary,Vegan,2834,Oatmeal with berries,Grilled chicken salad,Baked salmon with veggies,Trail mix
30,Male,186,55,Moderately Active,Vegetarian,1503,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Apple with almond butter
73,Female,152,61,Very Active,Vegan,1920,Oatmeal with berries,Grilled chicken salad,Vegetable curry,Trail mix
44,Male,197,71,Moderately Active,Pescatarian,2801,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Greek yogurt with nuts
36,Male,179,75,Moderately Active,Vegetarian,2898,Oatmeal with berries,Grilled chicken salad,Beef and broccoli stir-fry,Trail mix
35,Male,152,107,Sedentary,Vegetarian,2981,Vegan pancakes with syrup,Lentil soup with bread,Tofu and quinoa bowl,Protein bar
77,Female,162,55,Moderately Active,Vegan,1532,Vegan pancakes with syrup,Lentil soup with bread,Pasta with marinara sauce,Hummus and veggies
54,Male,153,103,Sedentary,Vegan,2692,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Hummus and veggies
18,Male,183,80,Sedentary,Vegan,2421,Oatmeal with berries,Grilled chicken salad,Vegetable curry,Apple with almond butter
63,Male,174,101,Very Active,Vegan,1942,Egg and spinach wrap,Grilled chicken salad,Beef and broccoli stir-fry,Greek yogurt with nuts
61,Male,178,74,Sedentary,Vegan,2533,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Trail mix
37,Male,196,70,Sedentary,Vegetarian,2433,Oatmeal with berries,Veggie stir-fry,Pasta with marinara sauce,Greek yogurt with nuts
26,Female,185,90,Moderately Active,Omnivore,1884,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies
31,Female,160,59,Moderately Active,Vegan,2430,Egg and spinach wrap,Grilled chicken salad,Pasta with marinara sauce,Greek yogurt with nuts
45,Female,157,70,Moderately Active,Vegetarian,2165,Egg and spinach wrap,Avocado and chickpea salad,Pasta with marinara sauce,Apple with almond butter
23,Female,192,92,Very Active,Pescatarian,2587,Vegan pancakes with syrup,Lentil soup with bread,Vegetable curry,Protein bar
20,Male,182,92,Sedentary,Vegan,1943,Fruit and yogurt parfait,Veggie stir-fry,Baked salmon with veggies,Greek yogurt with nuts
51,Male,158,68,Very Active,Vegan,2128,Vegan pancakes with syrup,Turkey sandwich,Beef and broccoli stir-fry,Greek yogurt with nuts
75,Female,191,86,Sedentary,Pescatarian,1540,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Trail mix
25,Male,197,109,Very Active,Vegan,2805,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Apple with almond butter
70,Female,151,116,Very Active,Pescatarian,2737,Oatmeal with berries,Turkey sandwich,Pasta with marinara sauce,Protein bar
72,Male,191,69,Very Active,Pescatarian,2816,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts
77,Female,196,60,Moderately Active,Omnivore,1512,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Hummus and veggies
60,Female,175,105,Moderately Active,Omnivore,2749,Vegan pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Greek yogurt with nuts
22,Male,168,72,Moderately Active,Pescatarian,2576,Vegan pancakes with syrup,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix
72,Female,169,111,Lightly Active,Pescatarian,1573,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Protein bar
43,Female,169,62,Moderately Active,Pescatarian,1740,Smoothie with protein powder,Grilled chicken salad,Tofu and quinoa bowl,Trail mix
45,Female,174,53,Very Active,Omnivore,1824,Smoothie with protein powder,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts
37,Male,178,112,Moderately Active,Vegetarian,2684,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Trail mix
75,Male,185,108,Lightly Active,Vegetarian,1705,Vegan pancakes with syrup,Veggie stir-fry,Vegetable curry,Greek yogurt with nuts
63,Female,199,97,Moderately Active,Vegetarian,1704,Oatmeal with berries,Avocado and chickpea salad,Pasta with marinara sauce,Apple with almond butter
41,Male,154,100,Moderately Active,Pescatarian,1817,Fruit and yogurt parfait,Avocado and chickpea salad,Pasta with marinara sauce,Hummus and veggies
23,Male,151,61,Lightly Active,Omnivore,2089,Fruit and yogurt parfait,Lentil soup with bread,Tofu and quinoa bowl,Greek yogurt with nuts
20,Female,199,94,Lightly Active,Omnivore,1566,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Protein bar
61,Male,184,70,Very Active,Pescatarian,2961,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Apple with almond butter
66,Male,188,53,Sedentary,Vegan,2759,Oatmeal with berries,Grilled chicken salad,Vegetable curry,Trail mix
38,Female,183,113,Very Active,Pescatarian,1641,Smoothie with protein powder,Veggie stir-fry,Baked salmon with veggies,Protein bar
47,Female,157,91,Moderately Active,Vegan,2977,Fruit and yogurt parfait,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter
50,Male,191,111,Moderately Active,Vegan,2530,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Hummus and veggies
57,Female,187,103,Moderately Active,Omnivore,2230,Vegan pancakes with syrup,Lentil soup with bread,Pasta with marinara sauce,Protein bar
53,Female,177,91,Moderately Active,Vegetarian,1692,Fruit and yogurt parfait,Turkey sandwich,Tofu and quinoa bowl,Trail mix
41,Female,185,78,Very Active,Pescatarian,2408,Oatmeal with berries,Veggie stir-fry,Tofu and quinoa bowl,Trail mix
73,Male,186,62,Sedentary,Pescatarian,2477,Oatmeal with berries,Veggie stir-fry,Vegetable curry,Apple with almond butter
53,Female,194,114,Moderately Active,Vegetarian,2264,Smoothie with protein powder,Lentil soup with bread,Pasta with marinara sauce,Greek yogurt with nuts
37,Female,155,101,Lightly Active,Pescatarian,2672,Fruit and yogurt parfait,Veggie stir-fry,Beef and broccoli stir-fry,Apple with almond butter
63,Female,196,85,Lightly Active,Vegan,2816,Vegan pancakes with syrup,Grilled chicken salad,Tofu and quinoa bowl,Hummus and veggies
58,Male,190,95,Sedentary,Pescatarian,2288,Vegan pancakes with syrup,Lentil soup with bread,Baked salmon with veggies,Trail mix
23,Male,170,74,Lightly Active,Vegetarian,2256,Oatmeal with berries,Turkey sandwich,Vegetable curry,Trail mix
77,Male,152,57,Moderately Active,Vegan,2887,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
70,Female,191,99,Moderately Active,Vegan,2344,Vegan pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Trail mix
49,Male,164,77,Lightly Active,Vegan,2142,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix
30,Female,176,118,Sedentary,Pescatarian,2060,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Greek yogurt with nuts
59,Female,151,87,Lightly Active,Vegan,1634,Vegan pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts
66,Male,186,117,Moderately Active,Vegetarian,2405,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter
63,Male,191,88,Sedentary,Vegetarian,2879,Oatmeal with berries,Lentil soup with bread,Pasta with marinara sauce,Greek yogurt with nuts
73,Male,151,75,Moderately Active,Pescatarian,1884,Oatmeal with berries,Avocado and chickpea salad,Vegetable curry,Protein bar
46,Female,152,99,Lightly Active,Omnivore,2219,Smoothie with protein powder,Lentil soup with bread,Vegetable curry,Trail mix
76,Female,172,109,Moderately Active,Vegetarian,1874,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Hummus and veggies
58,Female,185,57,Sedentary,Omnivore,2974,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Greek yogurt with nuts
29,Female,157,50,Sedentary,Omnivore,2633,Vegan pancakes with syrup,Veggie stir-fry,Pasta with marinara sauce,Greek yogurt with nuts
52,Male,176,114,Lightly Active,Vegan,2781,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies
68,Female,169,113,Lightly Active,Vegan,1658,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Protein bar
54,Female,175,72,Lightly Active,Vegan,2132,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Protein bar
18,Female,160,53,Moderately Active,Vegan,2381,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Trail mix
49,Female,186,112,Moderately Active,Omnivore,1901,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter
78,Male,193,58,Moderately Active,Vegetarian,1697,Vegan pancakes with syrup,Grilled chicken salad,Vegetable curry,Trail mix
76,Male,154,111,Sedentary,Vegan,2822,Egg and spinach wrap,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter
18,Female,170,52,Very Active,Pescatarian,2771,Fruit and yogurt parfait,Lentil soup with bread,Baked salmon with veggies,Protein bar
73,Female,186,62,Moderately Active,Vegan,2607,Egg and spinach wrap,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter
73,Female,153,110,Very Active,Vegetarian,2081,Egg and spinach wrap,Veggie stir-fry,Tofu and quinoa bowl,Trail mix
21,Female,153,116,Very Active,Vegetarian,1690,Oatmeal with berries,Avocado and chickpea salad,Baked salmon with veggies,Trail mix
50,Female,166,104,Moderately Active,Pescatarian,2160,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Hummus and veggies
25,Female,181,75,Very Active,Vegan,1969,Oatmeal with berries,Grilled chicken salad,Beef and broccoli stir-fry,Protein bar
60,Female,164,69,Lightly Active,Vegan,1505,Egg and spinach wrap,Veggie stir-fry,Baked salmon with veggies,Trail mix
71,Female,153,107,Very Active,Pescatarian,2611,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Apple with almond butter
41,Male,159,108,Lightly Active,Pescatarian,2573,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Apple with almond butter
56,Male,192,81,Lightly Active,Pescatarian,1641,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Hummus and veggies
69,Female,193,69,Lightly Active,Omnivore,2411,Vegan pancakes with syrup,Veggie stir-fry,Tofu and quinoa bowl,Apple with almond butter
54,Female,167,87,Moderately Active,Pescatarian,1975,Vegan pancakes with syrup,Turkey sandwich,Vegetable curry,Protein bar
46,Male,192,75,Very Active,Pescatarian,1548,Egg and spinach wrap,Turkey sandwich,Pasta with marinara sauce,Hummus and veggies
19,Male,160,119,Moderately Active,Pescatarian,1539,Fruit and yogurt parfait,Veggie stir-fry,Vegetable curry,Apple with almond butter
33,Female,158,84,Lightly Active,Vegan,2775,Vegan pancakes with syrup,Grilled chicken salad,Pasta with marinara sauce,Trail mix
39,Female,163,52,Sedentary,Vegan,1982,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Hummus and veggies
53,Male,174,67,Sedentary,Vegetarian,2478,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Hummus and veggies
30,Male,172,115,Lightly Active,Vegetarian,2921,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Greek yogurt with nuts
37,Female,155,90,Moderately Active,Omnivore,1622,Oatmeal with berries,Veggie stir-fry,Baked salmon with veggies,Protein bar
32,Male,196,57,Sedentary,Omnivore,2556,Egg and spinach wrap,Veggie stir-fry,Baked salmon with veggies,Trail mix
64,Female,162,118,Lightly Active,Vegan,2535,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Trail mix
26,Female,157,96,Moderately Active,Vegetarian,1590,Fruit and yogurt parfait,Grilled chicken salad,Vegetable curry,Trail mix
64,Male,185,62,Moderately Active,Omnivore,2885,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Hummus and veggies
42,Female,167,99,Very Active,Omnivore,2321,Fruit and yogurt parfait,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter
44,Male,182,57,Moderately Active,Pescatarian,2306,Egg and spinach wrap,Avocado and chickpea salad,Pasta with marinara sauce,Hummus and veggies
68,Male,188,83,Moderately Active,Omnivore,1582,Egg and spinach wrap,Grilled chicken salad,Baked salmon with veggies,Protein bar
34,Male,190,106,Sedentary,Vegetarian,1869,Oatmeal with berries,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter
41,Female,161,51,Very Active,Vegetarian,2511,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
48,Female,195,82,Lightly Active,Vegan,2455,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Greek yogurt with nuts
58,Female,183,97,Lightly Active,Vegetarian,2587,Fruit and yogurt parfait,Grilled chicken salad,Baked salmon with veggies,Hummus and veggies
20,Female,162,74,Lightly Active,Omnivore,1748,Egg and spinach wrap,Grilled chicken salad,Baked salmon with veggies,Trail mix
28,Female,157,53,Moderately Active,Vegan,2933,Fruit and yogurt parfait,Grilled chicken salad,Tofu and quinoa bowl,Hummus and veggies
21,Male,178,117,Moderately Active,Vegetarian,2077,Smoothie with protein powder,Grilled chicken salad,Pasta with marinara sauce,Protein bar
41,Female,169,60,Sedentary,Vegan,2882,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
39,Male,175,50,Lightly Active,Vegetarian,1590,Vegan pancakes with syrup,Turkey sandwich,Vegetable curry,Greek yogurt with nuts
65,Female,185,88,Moderately Active,Pescatarian,1741,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Trail mix
68,Female,196,108,Sedentary,Pescatarian,2831,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Greek yogurt with nuts
61,Female,160,83,Moderately Active,Vegetarian,2315,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Hummus and veggies
64,Male,193,105,Moderately Active,Vegetarian,2625,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix
34,Female,182,115,Lightly Active,Vegan,2255,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Trail mix
49,Male,167,56,Lightly Active,Vegetarian,2759,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Greek yogurt with nuts
57,Female,152,50,Lightly Active,Omnivore,2843,Fruit and yogurt parfait,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter
71,Female,169,104,Sedentary,Omnivore,2901,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix
58,Male,154,111,Sedentary,Omnivore,2006,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
40,Female,164,68,Moderately Active,Omnivore,2538,Fruit and yogurt parfait,Lentil soup with bread,Tofu and quinoa bowl,Trail mix
26,Female,156,55,Lightly Active,Omnivore,2720,Egg and spinach wrap,Turkey sandwich,Baked salmon with veggies,Hummus and veggies
42,Male,158,100,Very Active,Pescatarian,2227,Egg and spinach wrap,Grilled chicken salad,Vegetable curry,Apple with almond butter
43,Female,158,74,Sedentary,Omnivore,2747,Fruit and yogurt parfait,Veggie stir-fry,Pasta with marinara sauce,Protein bar
27,Female,191,66,Moderately Active,Vegetarian,1739,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter
41,Male,196,82,Lightly Active,Vegan,1605,Vegan pancakes with syrup,Lentil soup with bread,Tofu and quinoa bowl,Hummus and veggies
71,Female,199,50,Very Active,Vegetarian,1953,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
78,Female,168,77,Very Active,Vegan,2534,Vegan pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Trail mix
56,Female,186,67,Very Active,Vegan,2432,Vegan pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter
71,Male,168,103,Lightly Active,Vegetarian,2816,Smoothie with protein powder,Veggie stir-fry,Beef and broccoli stir-fry,Hummus and veggies
35,Female,176,56,Sedentary,Vegan,1854,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts
39,Male,172,54,Moderately Active,Vegetarian,1814,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Apple with almond butter
25,Male,194,77,Moderately Active,Vegan,2842,Fruit and yogurt parfait,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts
40,Male,190,76,Very Active,Vegan,2446,Egg and spinach wrap,Grilled chicken salad,Tofu and quinoa bowl,Hummus and veggies
46,Male,190,62,Sedentary,Pescatarian,2449,Vegan pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Apple with almond butter
75,Male,174,50,Moderately Active,Omnivore,2467,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Trail mix
23,Female,160,50,Very Active,Vegan,1792,Vegan pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Protein bar
55,Female,150,67,Sedentary,Omnivore,2295,Vegan pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter
41,Female,159,112,Sedentary,Vegetarian,2100,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts
63,Female,176,90,Sedentary,Pescatarian,2814,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Protein bar
42,Female,156,60,Moderately Active,Pescatarian,2099,Egg and spinach wrap,Turkey sandwich,Baked salmon with veggies,Apple with almond butter
55,Female,171,71,Sedentary,Omnivore,2042,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Greek yogurt with nuts
55,Female,197,85,Lightly Active,Vegan,1630,Vegan pancakes with syrup,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
39,Female,153,80,Lightly Active,Vegan,2605,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies
34,Male,170,92,Lightly Active,Vegetarian,2418,Smoothie with protein powder,Avocado and chickpea salad,Pasta with marinara sauce,Hummus and veggies
64,Male,186,57,Sedentary,Pescatarian,1531,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Protein bar
55,Female,197,87,Lightly Active,Vegan,1619,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Apple with almond butter
36,Female,153,57,Moderately Active,Pescatarian,2289,Fruit and yogurt parfait,Veggie stir-fry,Tofu and quinoa bowl,Protein bar
47,Male,161,103,Moderately Active,Pescatarian,2625,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Trail mix
21,Female,185,69,Lightly Active,Vegan,2498,Vegan pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Greek yogurt with nuts
71,Male,158,66,Lightly Active,Vegetarian,2979,Egg and spinach wrap,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts
56,Female,173,119,Sedentary,Omnivore,2527,Fruit and yogurt parfait,Avocado and chickpea salad,Tofu and quinoa bowl,Hummus and veggies
33,Male,188,92,Lightly Active,Pescatarian,2913,Oatmeal with berries,Veggie stir-fry,Tofu and quinoa bowl,Apple with almond butter
71,Female,154,69,Moderately Active,Pescatarian,2139,Smoothie with protein powder,Veggie stir-fry,Vegetable curry,Apple with almond butter
62,Male,161,112,Sedentary,Omnivore,2690,Egg and spinach wrap,Turkey sandwich,Vegetable curry,Trail mix
29,Female,180,93,Very Active,Vegan,1746,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Hummus and veggies
27,Female,157,75,Sedentary,Vegan,2982,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts
37,Male,170,50,Lightly Active,Vegan,2240,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter
41,Male,165,70,Moderately Active,Vegan,1705,Vegan pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Trail mix
31,Female,199,53,Lightly Active,Vegetarian,2437,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Protein bar
37,Male,189,119,Lightly Active,Omnivore,2188,Fruit and yogurt parfait,Turkey sandwich,Vegetable curry,Protein bar
62,Female,189,77,Very Active,Pescatarian,2902,Smoothie with protein powder,Grilled chicken salad,Vegetable curry,Apple with almond butter
59,Male,179,59,Sedentary,Pescatarian,2147,Smoothie with protein powder,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter
21,Male,188,77,Very Active,Omnivore,1523,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Apple with almond butter
55,Male,196,51,Moderately Active,Vegan,1949,Smoothie with protein powder,Turkey sandwich,Baked salmon with veggies,Apple with almond butter
25,Male,150,53,Very Active,Vegan,2282,Egg and spinach wrap,Veggie stir-fry,Tofu and quinoa bowl,Protein bar
36,Female,177,66,Moderately Active,Omnivore,2841,Fruit and yogurt parfait,Veggie stir-fry,Baked salmon with veggies,Protein bar
61,Female,169,67,Sedentary,Pescatarian,1872,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Apple with almond butter
57,Male,170,97,Sedentary,Vegan,1637,Vegan pancakes with syrup,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter
75,Male,197,112,Moderately Active,Omnivore,2738,Egg and spinach wrap,Avocado and chickpea salad,Tofu and quinoa bowl,Protein bar
43,Male,176,91,Sedentary,Vegan,2885,Egg and spinach wrap,Avocado and chickpea salad,Tofu and quinoa bowl,Apple with almond butter
50,Female,193,115,Sedentary,Pescatarian,2813,Smoothie with protein powder,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies
23,Male,187,68,Moderately Active,Pescatarian,2880,Oatmeal with berries,Avocado and chickpea salad,Pasta with marinara sauce,Protein bar
73,Male,189,72,Sedentary,Vegan,2905,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Hummus and veggies
73,Female,157,82,Lightly Active,Pescatarian,2117,Vegan pancakes with syrup,Lentil soup with bread,Vegetable curry,Trail mix
31,Male,168,96,Moderately Active,Vegan,1943,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
73,Male,177,100,Lightly Active,Vegetarian,1539,Vegan pancakes with syrup,Avocado and chickpea salad,Pasta with marinara sauce,Greek yogurt with nuts
63,Male,182,84,Very Active,Vegetarian,1736,Vegan pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Hummus and veggies
39,Male,179,54,Very Active,Vegan,2760,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Hummus and veggies
65,Male,175,91,Sedentary,Vegan,2776,Smoothie with protein powder,Veggie stir-fry,Baked salmon with veggies,Apple with almond butter
23,Female,183,101,Very Active,Omnivore,1703,Vegan pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Apple with almond butter
34,Female,190,57,Very Active,Omnivore,2721,Vegan pancakes with syrup,Lentil soup with bread,Vegetable curry,Apple with almond butter
70,Female,169,79,Sedentary,Omnivore,2455,Oatmeal with berries,Avocado and chickpea salad,Vegetable curry,Protein bar
41,Female,159,108,Lightly Active,Vegetarian,2428,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Greek yogurt with nuts
46,Male,164,106,Lightly Active,Vegan,1856,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Trail mix
73,Female,177,93,Moderately Active,Pescatarian,2107,Egg and spinach wrap,Avocado and chickpea salad,Vegetable curry,Hummus and veggies
27,Female,172,52,Very Active,Vegan,2240,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Banana with peanut butter
55,Male,160,85,Extremely Active,Omnivore,2502,Tofu scramble with veggies,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Apple with almond butter
19,Female,152,79,Lightly Active,Omnivore,1540,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Fruit and nut mix
31,Female,184,92,Very Active,Vegan,3525,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Fruit and nut mix
69,Female,151,60,Sedentary,Vegan,1245,Tofu scramble with veggies,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix
39,Male,176,53,Extremely Active,Omnivore,2236,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix
